person,CantidadEventos,CantidadCompras,CantidadLeads,VentasHaceUnMes,LeadsHaceUnMes,VentasHaceDosMeses,LeadsHaceDosMeses,CantidadCheckouts,VentasMes1,VentasMes2,VentasMes3,VentasMes4,PromedioVentasPorMes,DiasDesdeUltimoEvento,DiasDesdePrimerEvento,DiasDesdeUltimaConversion,CantidadSearchEngineHits,EntraronMasDeUnaVez,DiasDesdeUltimoCheckout,EntraronConComputadora,EntraronConSmartphone,EntraronConTablet,CantidadAdHits,DiasDesdeUltimoAdHit,DiasDesdeUltimaBusqueda,CantidadDeColoresVistos,CantidadDiasDiferentesDeVisita,CantidadDeModelosVistos,EsDeBrazil,apple,asus,blackberry,lenovo,lg,motorola,quantum,samsung,sony,bcm,vam,vao,coam,coao,cam,cao,lam,lao
517ba004,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10000.0,1.0,0.0,11.0,1.0,0.0,0.0,1.0,11.0,11.0,2,1,3,1.0,0,0,0,0,0,0,0,1,0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
517bf648,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,2.0,0.0,10000.0,1.0,0.0,0.0,1.0,3.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517e8a6d,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517f0919,121,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,10000.0,1.0,1.0,7.0,1.0,0.0,0.0,4.0,6.0,6.0,15,3,41,1.0,0,0,0,0,0,0,0,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517fa12a,58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,10000.0,10.0,1.0,15.0,0.0,1.0,0.0,10.0,12.0,1000.0,8,3,10,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5185244b,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10000.0,1.0,0.0,14.0,1.0,0.0,0.0,0.0,1000.0,14.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51871a7c,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10000.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,4.0,4.0,1,1,1,1.0,0,0,0,2,0,7,0,0,0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51876552,60,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,10000.0,2.0,1.0,10.0,1.0,0.0,0.0,1.0,10.0,1000.0,7,2,6,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5187f77f,23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10000.0,4.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518b0612,30,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.2,4.0,112.0,4.0,6.0,1.0,4.0,1.0,0.0,0.0,5.0,4.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518b5ae3,121,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,10000.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,1000.0,10.0,6,2,19,1.0,0,0,0,0,0,0,0,2,0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
519121ee,33,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,3.0,0.0,17.0,0.0,1.0,0.0,1.0,17.0,17.0,2,1,5,1.0,3,0,0,0,0,0,0,0,5,8.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
5193354f,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,10000.0,2.0,0.0,16.0,0.0,1.0,0.0,2.0,16.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51972cdf,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,10000.0,2.0,0.0,13.0,1.0,0.0,0.0,2.0,13.0,1000.0,6,1,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51987869,322,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,10000.0,9.0,1.0,2.0,1.0,0.0,0.0,7.0,2.0,25.0,16,14,29,1.0,0,0,0,0,0,8,0,0,0,8.0,51.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
519dc98a,163,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.2,11.0,142.0,24.0,7.0,1.0,24.0,1.0,0.0,0.0,15.0,11.0,142.0,9,10,18,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51a4ccb7,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,10000.0,4.0,1.0,13.0,0.0,1.0,0.0,4.0,12.0,13.0,6,4,7,1.0,2,0,0,0,0,0,0,0,0,2.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
51ae0c23,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,10000.0,1.0,0.0,9.0,0.0,1.0,0.0,1.0,9.0,1000.0,2,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51b1f975,43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,10000.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,1000.0,14.0,4,2,6,1.0,0,0,0,1,0,0,0,0,0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51b26286,38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,10000.0,7.0,1.0,9.0,0.0,1.0,0.0,8.0,7.0,9.0,1,3,3,1.0,0,0,0,0,0,5,0,2,0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51b3027e,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,10000.0,0.0,0.0,10000.0,1.0,0.0,0.0,1.0,23.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51b75277,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10000.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,4.0,3,2,2,1.0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51bbe2f6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,10000.0,1.0,0.0,10000.0,1.0,0.0,0.0,0.0,1000.0,27.0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51be5ef8,154,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,10000.0,10.0,1.0,56.0,0.0,1.0,0.0,5.0,2.0,2.0,12,12,15,1.0,5,0,0,0,0,3,0,12,0,20.0,20.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
51c49988,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0,3.0,47.0,47.0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51c6b4dd,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,10000.0,8.0,1.0,10000.0,0.0,1.0,0.0,8.0,15.0,16.0,7,8,25,1.0,0,0,0,0,0,6,0,0,0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51c7b3a8,20,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10000.0,3.0,1.0,4.0,0.0,1.0,0.0,3.0,4.0,1000.0,2,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51cbc081,134,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,79.0,142.0,142.0,9.0,1.0,142.0,1.0,1.0,0.0,29.0,79.0,140.0,9,16,8,1.0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51cfaa76,66,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,69.0,72.0,10000.0,0.0,1.0,71.0,0.0,1.0,0.0,10.0,69.0,1000.0,7,3,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51d2a0a4,19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,10000.0,0.0,1.0,31.0,0.0,1.0,0.0,4.0,31.0,31.0,4,4,2,1.0,0,0,0,0,0,0,0,1,0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
51d66340,54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,10000.0,3.0,1.0,13.0,0.0,1.0,0.0,7.0,1.0,13.0,4,4,9,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51daa7cf,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,10000.0,0.0,1.0,13.0,1.0,0.0,0.0,4.0,13.0,1000.0,4,2,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51eec591,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10000.0,2.0,0.0,10000.0,1.0,0.0,0.0,0.0,1000.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51f08f03,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10000.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,15.0,15.0,3,1,3,1.0,0,0,0,0,0,2,0,0,0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
51f27e99,83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,71.0,10000.0,1.0,1.0,71.0,1.0,0.0,0.0,4.0,25.0,1000.0,3,4,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51f3a1ab,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,85.0,10000.0,1.0,1.0,10000.0,0.0,1.0,0.0,8.0,2.0,1000.0,12,9,12,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51f8f102,66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,10000.0,11.0,1.0,9.0,0.0,1.0,0.0,19.0,8.0,9.0,5,8,3,1.0,4,0,0,0,0,0,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5202c5c6,128,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,79.0,10000.0,1.0,1.0,13.0,1.0,0.0,0.0,5.0,30.0,1000.0,7,8,15,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5202db13,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10000.0,1.0,0.0,15.0,0.0,1.0,0.0,0.0,1000.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52078bc1,31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,10000.0,1.0,1.0,16.0,0.0,1.0,0.0,1.0,16.0,16.0,3,2,3,1.0,1,0,0,0,0,0,0,0,0,1.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
520a559f,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,141.0,10000.0,4.0,1.0,10000.0,0.0,1.0,0.0,10.0,3.0,55.0,7,11,8,1.0,2,0,0,0,0,0,0,0,0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
520dccde,9,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5214088a,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10000.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1000.0,1000.0,2,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5217d996,31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10000.0,6.0,0.0,3.0,1.0,0.0,0.0,0.0,1000.0,3.0,3,1,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521dbed6,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10000.0,1.0,0.0,15.0,0.0,1.0,0.0,1.0,15.0,15.0,1,1,1,1.0,0,0,0,0,0,1,0,0,0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
521e81a7,30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,65.0,10000.0,4.0,1.0,10.0,0.0,1.0,0.0,1.0,65.0,65.0,5,2,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521eaef4,7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521fa699,42,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,10000.0,5.0,1.0,10.0,1.0,0.0,0.0,7.0,4.0,4.0,7,2,4,1.0,0,0,0,0,0,0,0,1,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52214c0f,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10000.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52242401,155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,10000.0,14.0,1.0,11.0,1.0,0.0,0.0,7.0,14.0,4.0,12,8,17,1.0,4,1,0,0,0,0,0,0,0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52259a71,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,10000.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,1000.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52293749,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10000.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,1000.0,6.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5229bf85,33,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,9.0,12.0,12.0,3.0,1.0,12.0,0.0,1.0,0.0,8.0,9.0,1000.0,2,2,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522a15b7,42,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,9.0,45.0,9.0,4.0,1.0,9.0,1.0,0.0,0.0,3.0,27.0,44.0,3,4,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522c659e,13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1000.0,2.0,1,2,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522e009c,283,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,10000.0,5.0,1.0,3.0,1.0,0.0,0.0,17.0,2.0,2.0,11,12,15,1.0,10,0,0,0,2,0,0,0,0,12.0,64.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
522fa803,295,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,39.0,10000.0,3.0,1.0,29.0,1.0,0.0,0.0,21.0,18.0,1000.0,20,9,29,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5230f51f,102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,98.0,10000.0,3.0,1.0,17.0,1.0,0.0,0.0,5.0,31.0,22.0,5,7,6,1.0,0,0,0,0,0,0,0,2,1,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
523c7e69,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,10000.0,0.0,0.0,10000.0,0.0,1.0,0.0,0.0,1000.0,1000.0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52407601,36,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.2,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,1000.0,2,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5246d2b4,93,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,10000.0,1.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,1000.0,5,5,7,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5249c733,117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,10000.0,0.0,1.0,9.0,0.0,1.0,0.0,8.0,5.0,1000.0,9,4,24,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5249dafc,18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,114.0,10000.0,3.0,1.0,15.0,0.0,1.0,0.0,0.0,1000.0,1000.0,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524c5ee4,16,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.2,10.0,18.0,10.0,0.0,0.0,10.0,0.0,1.0,0.0,4.0,10.0,1000.0,3,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524f3bc8,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,10000.0,3.0,1.0,10000.0,0.0,1.0,0.0,4.0,1.0,1000.0,3,3,3,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5255b2fe,78,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10000.0,0.0,1.0,3.0,0.0,1.0,0.0,9.0,2.0,2.0,6,4,5,1.0,7,0,0,0,0,0,0,0,0,7.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
525bd5cc,59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,10000.0,2.0,0.0,16.0,1.0,0.0,0.0,2.0,16.0,1000.0,8,1,19,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526086ec,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10000.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,5.0,1000.0,2,1,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5261d58e,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,10000.0,2.0,1.0,13.0,0.0,1.0,0.0,2.0,6.0,1000.0,2,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52629dcf,184,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,10000.0,5.0,1.0,1.0,0.0,0.0,1.0,6.0,44.0,44.0,16,11,28,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
526412b3,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,1000.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52669825,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,76.0,10000.0,1.0,1.0,10000.0,1.0,0.0,0.0,0.0,1000.0,9.0,7,3,17,1.0,0,1,0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
526db282,76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,57.0,10000.0,1.0,1.0,9.0,0.0,1.0,0.0,13.0,9.0,1000.0,3,4,4,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5270346a,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10000.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1000.0,1000.0,2,2,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5270b96c,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,10000.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,13.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52726d33,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10000.0,5.0,0.0,10.0,1.0,0.0,0.0,5.0,10.0,1000.0,6,1,6,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527ac6ab,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10000.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,10.0,1000.0,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527c61dd,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,10000.0,0.0,0.0,17.0,0.0,1.0,0.0,2.0,17.0,1000.0,2,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527d86f9,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10000.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1000.0,1000.0,1,1,1,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52896a2d,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,10000.0,1.0,0.0,15.0,1.0,0.0,0.0,1.0,15.0,1000.0,2,1,2,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
