person,CantidadEventos
40cc951a,60
40d144b8,19
40d5d3a5,18
40d60b1b,22
40d6445b,34
40d9d2c8,257
40dc55c9,83
40debaec,38
40e56c1f,421
40e7fbd8,46
40ea63a4,9
40eb2550,15
40ed5ef3,21
40eed036,4
40eee993,32
40f1156b,9
40f1ae15,25
40fc1e57,46
41029a23,4
410405c2,60
410903d6,11
4109dcd0,897
410b4b19,35
410c28fd,41
4110425d,123
4118004e,12
411b6d0b,204
4126d52e,6
41296511,36
412b3889,141
412d9472,4
41304afa,13
41325066,6
4135a920,7
4135fe6e,39
41367aa5,13
413800fc,10
41418524,13
414519f6,65
41494b8c,8
4149a282,4
414ca9a0,6
41526f10,38
41534b2a,8
4156e92c,356
415760c7,5
415b0b13,38
415b4723,12
415e3672,4
41668c10,31
416a66d2,24
417371e5,414
4173aaec,9
417436f5,7
417a5974,86
417d5067,389
41800c37,20
418058e0,12
418075a0,18
41809168,56
41815297,29
418158a9,44
41884066,24
418cceb5,14
41907ff8,71
41908855,10
4191af57,60
4193e52b,33
41951367,27
41a683bc,5
41a6f895,31
41a9d793,4
41ab6b40,35
41ad6406,168
41ad81c3,2
41ba3fc3,28
41bfa3b9,38
41c3258d,44
41c530ab,51
41c9dfb3,21
41cc8ed4,186
41ccd2c6,374
41d60a74,35
41d9971e,62
41db4f4e,24
41dc633d,9
41dc90ad,6
41e41331,33
41e61ec8,112
41e79bb8,44
41ecab15,29
41ecb888,35
41f20e42,121
41f97ffa,16
41fa4e7d,36
41fc3636,13
42014266,18
42064cfe,110
420a6b61,310
420bd7c9,7
420d3c55,44
4215f21d,73
4218f339,17
421cd1bc,126
42225d52,18
4223df3a,9
422438f8,10
4225639e,41
4228c727,115
422950be,4
422bc4d7,166
422dfa40,4
422e09e6,14
422fdaaa,24
42322b11,11
423236e8,14
42359421,201
42399a8d,5
423da796,183
4241319c,91
42509cfe,19
425c7886,41
425d2c7c,30
425d6615,85
4262c051,8
42662d1a,23
4266322d,416
426af23c,16
426fb169,37
4271d753,27
427754ca,9
42794094,16
427955e4,12
428071ea,6
42841cce,4
4285d538,4
428abbb3,10
428cb6d5,597
428dcdc8,21
428f661b,4
4291bac1,313
429909a6,17
429d115e,8
429d7c45,8
429f2943,82
42a11578,82
42a2cc7b,53
42a4cd7e,22
42a873c7,83
42a89063,3
42b0e9e9,42
42b321e3,18
42babd4a,46
42be9e36,36
42c03381,34
42c05b22,30
42c0fcb1,178
42c3dd09,19
42c81715,3
42c9e275,54
42cc8a1d,293
42ce119c,13
42ceba1a,18
42d12233,20
42d384cd,50
42d46c8d,45
42d6440e,58
42db17ef,312
42dfa54f,4
42e01269,95
42e0653a,71
42e34a51,10
42e51faf,213
42efb01d,80
42f66db9,171
42f8c341,11
42faea59,182
42fe9e11,1226
42ff74cd,9
4300aa27,16
43014541,49
4302ef9b,110
4305412f,5
430822b3,3
430f33b4,17
43159bcd,52
431f4e58,10
432424c3,460
43289736,95
432d5245,40
4334f96c,96
43432039,27
4345d3a5,5
434e8fb7,72
435380bd,63
4356db37,114
435c97f6,28
43643f95,6
43650bc8,42
43653fe3,12
43662a7d,35
4371dc3b,11
43739307,27
43779524,27
437822c7,28
4378cf86,41
4378ff7f,240
437af2ff,57
43818419,77
43872800,21
43894033,8
438aaa96,21
4390881c,221
4390d27b,61
439113ce,76
43993bb1,4
439a7ae4,4
439be938,3
439d167c,1468
43a614ab,155
43ab3dfe,44
43abb351,70
43ad9e03,23
43b0747c,4
43b5e783,5
43b6a905,33
43bfec64,23
43c3319b,108
43c63233,20
43c64296,120
43c7f438,319
43cbe5ff,5
43d725b0,14
43e666a9,10
43e98691,58
43ecc10c,9
43ee7e3c,33
43f1a1b9,22
43f69e06,558
43f78f64,31
43fc1b44,110
4402e465,5
4402ec28,169
44032147,176
440e64b5,4
440e8c20,29
4417bec6,42
4418ba71,17
441b42db,37
44269b3d,235
4428a8a2,6
44290353,4
442a2911,76
442d6dfd,71
443345bf,4
4435f15f,8
44380185,10
443b0162,333
443f08c8,57
444105d3,3
44441f56,36
44467e32,24
444a96dc,311
444c38fc,13
4459d1da,296
445c5b9f,30
446833ad,380
446a3c8e,4
446d86da,38
446db7d5,11
4473cb91,13
44748bc9,8
4475b2e8,18
447618ec,4
44789d5b,19
4478f1a2,65
447dbbe9,4
448f43d8,1
44913772,3
44924e0a,3
44937de7,2
4495e172,35
4496ab2e,64
4499b4f6,15
44a3e147,6
44a67186,5
44b09889,64
44b18673,20
44b89a94,2
44b95dc1,19
44bc1381,42
44c157e5,4
44c42d56,71
44c4903e,53
44c79b07,23
44c7e26e,19
44c98334,6
44cafb9e,4
44cb3735,38
44cb8190,82
44cbae51,6
44d338ab,108
44d44a38,128
44d4f6b6,7
44d92eb0,11
44da4c49,34
44e14bfd,21
44e17651,432
44e2951c,53
44e43764,4
44e89b77,73
44e90fd0,120
44f60b8d,319
44fbce9d,12
44fca08c,4
44fd080d,9
44ff2b9c,4
450084d0,29
4501693c,7
45020723,40
4507bfd0,145
450a5a03,6
450c38ba,25
450e7966,14
45118d7d,5
4516b2a5,5
4516cce8,17
4517069b,57
451974bb,223
451a7180,2
451ddc83,44
451f8da9,386
45228a20,31
4523caea,35
4523de25,13
4524bddd,4
4524bdf2,37
4529904e,53
452e22a2,26
453418e9,81
45368b09,12
4536f698,9
453b63ca,293
4540ea89,39
45449a02,13
45468120,6
454693a7,182
45479322,51
454959fb,47
454c6091,753
4555d51d,169
45599974,173
455b577c,555
455bd7aa,6
45600777,14
45619245,244
4564d864,69
4565f070,59
4568e90b,8
45693689,4
4571866a,75
457244ad,47
45758c2f,7
457735c8,17
457bb543,506
4583ab96,4
458831be,27
458dbcd5,131
45907d7a,6
459ad003,7
45a09059,1
45a8d949,9
45acacec,14
45ada3ab,46
45af4ff7,12
45afe3f3,29
45b20256,4
45b2c534,24
45b3d8ef,81
45bb8bf6,38
45bc0aab,10
45bdbf87,10
45c1565f,58
45c4b9de,5
45c6dfdc,291
45ca6303,251
45cc1dfd,63
45d417bb,72
45d5a515,110
45d6123e,4
45daa69b,16
45dc51da,1
45e572b6,4
45e91ceb,9
45ed1daf,16
45f9ae19,48
45fa08be,13
45fa46a3,91
45fd7f7e,31
4601ca61,104
4601d782,49
46024cf0,828
46056359,93
4610cd36,34
4619ce73,48
461e59a5,2
461e5cde,10
462280af,14
4623e03b,16
4631ee8e,4
46329fe0,14
463412c7,6
4637535f,3
46389247,4
463b7e90,62
4642314d,347
46464257,42
46498e4d,25
464bd4c9,140
465133f8,83
465186f9,14
4651a639,46
46522355,9
4659ec4e,135
465d3c2e,81
4660da67,20
4667849f,8
4667bbcd,42
4668361d,17
466c0e0c,50
4670610c,9
46713766,152
4672fc74,19
467f347b,89
4682f93c,109
4684db58,32
46885745,22
468e0e36,97
468f94f4,11
469142a7,83
46929c37,15
4696ef53,16
469b03d4,70
469d289a,81
469eed73,125
46a0b3f7,56
46a1efca,32
46a4d1ab,35
46af147c,169
46b1cdc7,49
46b683d7,34
46b6c697,11
46b8aab0,34
46bfd4fa,22
46c54ed6,416
46c99e57,9
46ce3eae,9
46cf84fc,30
46d167b0,1
46d23cdd,4
46da508e,83
46daa584,138
46dc33db,12
46dca584,8
46e35ab6,8
46e64f07,18
46e759ac,291
46e9c972,26
46edf4e7,4
46f084a2,39
46f2e386,17
470d8ba0,29
47115006,24
47185459,40
4719b325,174
471fb833,11
472ef4db,64
47344725,21
4736d62f,48
473772bb,31
47462840,4
47467a12,44
47481c7c,59
474b5a0f,79
47539d05,5
47562eef,4
47571c42,4
47596c5e,14
475a0382,8
475d949e,15
47674b5d,124
476ea088,4
476f312e,30
47709e82,32
47732654,27
477539e0,22
47757197,31
477db4bb,38
477e3dd7,112
477eb02b,11
47804f4c,11
4785c6a1,4
47865472,56
4787c0d9,8
47885406,79
478bfa72,14
478c4c35,13
478db08a,86
478e1080,20
478e8618,37
4794cf37,333
479dd35c,55
47a06d18,25
47a13e57,15
47ac5ac8,1
47af3d59,276
47aff717,52
47b22e12,29
47b2f90d,37
47b3202f,100
47b37701,14
47b4c309,38
47bbcb3a,36
47be783f,17
47bf8df3,27
47c7e670,44
47d43e66,52
47d4fb9b,15
47d8de9a,62
47e72d13,132
47e87546,11
47ee7dcf,47
47f39c3d,17
47f681fc,6
47f72ace,107
47fe1b7a,4
4800ca6b,66
48053ed7,66
48098b3a,17
480d5f8b,20
480e91f5,55
481211a3,135
48128d43,11
4812e94f,350
4812fee1,6
48131c28,3
48166f63,48
4818d53e,106
48198767,26
48210f7e,110
48253963,8
4827893a,32
4827f80a,40
48303eb4,12
483045e9,7
483b8b36,15
483c4300,6
484684ee,17
4851cace,27
48598298,72
4862f255,107
48658458,22
486661c7,78
4868d412,59
486c3ab7,37
486eb592,453
48797845,55
487e6bbe,61
48829cf5,16
4885ee99,16
4886f805,9
488b78f6,11
48906be3,7
4891fd90,269
48920a9b,8
4893accc,1
489561de,32
48986e93,35
4899be9e,29
489e2db9,4
489e6078,142
489fecd5,36
48a04efe,51
48a18898,120
48aa9ea1,11
48ac92d6,36
48ad52d0,26
48b39f36,10
48b62daf,128
48b78f37,35
48b98d4c,35
48bb142f,59
48bd9c86,4
48be1adb,26
48c14a63,6
48c3769b,4
48ca18ca,34
48cb1cb1,147
48cc5a21,52
48cce371,85
48ced658,35
48d2e386,21
48d4712b,19
48e00d4b,545
48e399ed,30
48e6d12a,12
48e70769,35
48e934ab,3
48f23b28,42
48f49e5f,3
48f54bbe,27
48f6090a,2
48f62149,8
48f7b15c,8
48f96177,173
48f9e74f,58
48fae643,54
49013e40,184
4902ccf4,195
49076367,3
490b0a3f,19
490df0e1,74
490e1a1c,7
490e1b55,21
49136e92,4
491391ba,11
4913a927,17
49169006,15
492390da,63
49294f7f,3
492b8470,410
492c30d9,13
492dcc85,18
492fba8d,8
493be000,1
493cbc6f,10
493d8c9e,24
49419102,46
49426cdf,19
4953c154,10
4954fa63,4
49574271,53
4957a6f0,889
495cc389,5
495f52c3,4
49622d72,22
49642018,11
49646896,98
4975850d,584
497af5b0,6
497b5a7a,41
497d1e47,12
4982fbc6,8
4986250a,17
4987894a,24
498b778f,2
498befc5,19
49923f05,89
49941198,4
49954375,74
49954719,7
499665dc,5
4996a7c9,3
499a9ff0,19
499be426,192
499c7a52,17
49a08786,25
49a40548,184
49a46877,36
49a4cf80,148
49a5ea63,6
49a63a84,235
49b3f9c2,58
49b42429,221
49b4cfde,45
49b4fa3c,9
49c19e32,48
49cb6559,16
49cd00d1,9
49ceb26e,50
49cf04c9,51
49d11b2b,31
49d2685a,9
49d3a87d,15
49d3d81b,157
49d95d31,59
49d9b459,32
49dd019b,20
49ddc3f5,5
49e29df4,10
49e635a1,27
49e8be8f,53
49ef33e2,3
49f3ee91,28
49f408bc,228
49f8894b,52
49f9915f,816
49fabf3c,23
49ff6d6e,153
49ffa704,36
4a017ba8,489
4a055f7d,18
4a084a0d,32
4a0bd004,26
4a0f13fe,35
4a14c662,51
4a161af3,1
4a187474,6
4a239abe,14
4a279402,10
4a2ab682,12
4a2ff0e9,6
4a31f519,64
4a34827c,8
4a39d284,77
4a3c0db7,13
4a4221b5,83
4a44f9a1,55
4a466bf9,12
4a46f7e3,8
4a500546,18
4a50781d,118
4a5197b4,13
4a538a0d,36
4a55d40d,31
4a5accb5,34
4a5ec067,10
4a697d22,59
4a6c054f,4
4a6ee8d2,4
4a700168,20
4a707121,43
4a708b23,7
4a746b0b,4
4a750348,36
4a7f5660,133
4a8176bd,43
4a85cf9f,50
4a872fcc,70
4a8ba64b,60
4a8d0d47,28
4a8ffca7,4
4a98277b,106
4a9c833c,11
4a9d369a,9
4a9ea74e,22
4aa1fbe9,4
4aa219ae,51
4aa48230,10
4aa4a9d1,9
4aa4ab11,72
4aa73bce,367
4aa94bb0,23
4aace964,3
4ab3d881,107
4ab74d38,4
4abe574f,185
4ac22b8a,4
4ac4f4f8,35
4ac8fa1a,3
4acd1739,109
4acfbb7d,37
4ad092b1,20
4ad329ca,18
4ad5dee9,144
4ad7d590,4
4ad9b7b9,9
4adb2c08,29
4ade2807,24
4adeb12a,61
4ae08ca0,14
4ae7c760,34
4aeac2cf,26
4af242f2,43
4af3df4a,51
4af4e671,192
4b0105f8,4
4b032ec5,59
4b05c56c,17
4b065662,304
4b084977,8
4b09423a,4
4b0942b2,177
4b0d513b,4
4b0f5fdf,86
4b115adb,138
4b15f6c4,6
4b15f76f,22
4b160ec6,36
4b16132b,4
4b1911ae,212
4b192d15,40
4b1bea27,39
4b223971,27
4b2340a3,26
4b269f8c,4
4b292140,13
4b2a0746,5
4b347071,67
4b35a2da,7
4b37587a,132
4b3784ff,54
4b3c3156,154
4b3ed346,49
4b50fbd7,91
4b538048,15
4b55b097,129
4b55e419,121
4b58c992,36
4b5c88b5,21
4b5d409f,138
4b67690a,12
4b6aaa41,223
4b6baca7,1
4b6e8c77,18
4b72a479,4
4b77241f,24
4b82f200,19
4b831add,22
4b875871,8
4b884e45,9
4b89ec71,28
4b8d3ea4,46
4b960171,11
4b9896b4,37
4b98b3ed,16
4b9cae23,9
4b9f1553,42
4ba8900f,258
4ba9f688,10
4bad2eab,68
4badb3ad,12
4bae0191,75
4bb1eb95,14
4bb9060d,6
4bc05e11,66
4bc152a2,21
4bc19583,10
4bc4975a,368
4bc4d744,9
4bccacc6,49
4bcd986e,6
4bcdb42f,273
4bd2b2c5,3
4bd7aba8,12
4bdbc8ac,38
4bde9361,75
4be3ab21,27
4be595b4,24
4be61fe5,1
4be90d91,4
4be981cb,12
4beeb20e,10
4bf27412,4
4bf8f9fb,29
4bf9d1a2,40
4c006de4,98
4c0155a8,163
4c027fb1,14
4c04c63f,10
4c0dc2e5,331
4c124014,25
4c169605,28
4c1b5328,8
4c21150f,70
4c243bc3,18
4c24f7c4,21
4c2550e4,37
4c2c99e0,10
4c2e3584,63
4c2f393f,4
4c2fa9d3,39
4c307358,21
4c31e6c1,17
4c33738c,23
4c347b04,20
4c34a394,4
4c384d82,66
4c443399,39
4c4888a3,12
4c494909,47
4c4aa1a3,13
4c4c5c8b,2
4c4efbb2,21
4c52e199,5
4c531482,8
4c613a6d,33
4c61e076,31
4c67e6d4,59
4c6dde83,35
4c70a92a,13
4c7386e6,162
4c7ac1f4,60
4c813003,74
4c82cae0,4
4c82e8d9,10
4c86533e,4
4c8811af,32
4c8921a9,17
4c8a78aa,27
4c8a8b93,257
4c8c8451,109
4c8ea79e,205
4c9152c4,25
4c9228c4,21
4c92aabd,14
4c92d454,96
4c94d50a,30
4ca53328,4
4cb7d25a,14
4cb7f920,118
4cbb09d9,10
4cc2e192,10
4cc37080,134
4cc4c09c,26
4cc9b8fb,2
4ccdb118,203
4cce1ab6,62
4ccf7d8a,145
4cd5a8aa,13
4cd5e6e7,4
4cd743a4,20
4cdbefbc,33
4cdc68e0,84
4cdd88de,7
4ce23b1d,54
4ce2be8d,58
4ce33b21,1
4ce34094,36
4ce6bd56,16
4cec7bf8,6
4cece5ad,19
4cf0b5ef,4
4cf76239,19
4cfab488,50
4cfc6b44,25
4cfd37f4,17
4d03088f,211
4d06389d,324
4d072c5f,14
4d08c95f,4
4d096b56,19
4d0c7e13,89
4d0ded72,149
4d0f44bb,31
4d1368ed,20
4d15ef8d,65
4d1ffe46,4
4d20a2fd,39
4d22ba9b,27
4d233ac6,52
4d23cbb0,23
4d2b09f5,46
4d2b6661,15
4d2bef9c,63
4d362fb6,432
4d4382d2,6
4d455958,17
4d4664a8,97
4d47336e,133
4d51bd53,50
4d54844e,86
4d5d601d,7
4d6dc2a9,19
4d71c361,4
4d785c7d,4
4d7ffe76,13
4d80defc,69
4d8243f8,51
4d82906c,17
4d82db78,22
4d869a2b,6
4d89fd5b,42
4d8dc829,17
4d8f6aa6,54
4d917b03,4
4d9a46cd,23
4da4ecf7,24
4daaa3ca,8
4db03a5f,21
4db16849,57
4db49056,13
4db89c73,4
4dbf7812,31
4dc33c3d,16
4dc39e85,15
4dc3ddd0,118
4dc7c60c,31
4dc85e96,52
4dca1b4c,39
4dca6731,15
4dca8829,8
4dcacb28,31
4dcd17e9,12
4dd52100,19
4dd8f00d,3
4dd9a91e,34
4dda8298,109
4ddb8c19,1
4de22260,46
4de76b31,105
4de790aa,35
4de7f4dd,194
4deefdb8,4
4df2ddc6,37
4df3fa64,12
4df8637e,13
4dfaa9ab,140
4dfd6a99,23
4dfea316,20
4e05b674,4
4e06ffd8,47
4e0cb998,6
4e0e2c84,333
4e11bf67,5
4e234792,29
4e2451b7,9
4e26870b,43
4e27b295,14
4e34349a,31
4e39b38f,4
4e3a5b5c,77
4e40b4db,8
4e43f263,52
4e44ae07,24
4e4becd8,39
4e4d37cc,37
4e4d4949,17
4e552d18,11
4e55ce3a,4
4e5605ef,26
4e5897f6,33
4e59e7fa,25
4e5affcc,20
4e5b71d1,3
4e5c868d,124
4e5ce7c3,8
4e5d317d,13
4e5d3859,56
4e649803,9
4e67833c,8
4e6985ab,112
4e708caf,4
4e70c204,41
4e72b513,51
4e74b7dc,147
4e7b4df4,798
4e7c0b69,10
4e7e6535,14
4e854bda,9
4e86b4db,162
4e888fca,3
4e892c1d,8
4e8fa801,112
4e93df98,4
4e97e732,6
4e983013,37
4e9b1714,27
4e9be837,182
4e9f3011,18
4ea21c71,24
4ea36ea1,31
4ea3efed,8
4ea7a65a,280
4eb0b516,4
4eb1d244,17
4eb3ebba,37
4eb7ad4b,50
4eb7be92,4
4ebb2133,4
4ebcfcda,4
4ec0096b,35
4ec0adfb,7
4ec2ee77,3
4ec55502,5
4ec5b30b,52
4ecc3c44,93
4ece26a8,128
4ed01573,54
4ed206d9,11
4edc21a3,42
4ee0e1fc,263
4ee8ef33,13
4eead6af,32
4eec742b,77
4ef896ab,26
4efa69c2,26
4efb67ad,52
4effbc3a,142
4f03832e,42
4f05665f,27
4f06f2dd,45
4f074a61,191
4f0ac7be,31
4f1642c3,25
4f1b755f,90
4f1bc6d1,12
4f217342,27
4f26e893,78
4f27d096,18
4f2cc627,4
4f307261,6
4f3199c2,22
4f31c498,69
4f3320ee,13
4f3501cf,12
4f368773,113
4f38c82d,52
4f41cfca,85
4f42e6da,50
4f44a473,30
4f48cc07,7
4f48e98b,77
4f497add,3
4f4ca185,8
4f4ec5b3,24
4f5166fe,1
4f544a33,15
4f54b806,7
4f58e106,32
4f5b3eda,18
4f60ad17,5
4f60b30c,276
4f6180dd,3
4f674fbb,10
4f6ba198,5
4f70f781,27
4f74794a,61
4f82fbbf,55
4f8bd252,46
4f906900,3
4f9368b9,49
4f95f6d2,121
4fac73b3,85
4fb6ae40,26
4fb9dc8d,4
4fbb1e43,58
4fbeabe7,4
4fbeea12,51
4fc28da9,13
4fc484ad,183
4fcb4c87,224
4fcdb043,27
4fd5119b,180
4fd59462,3
4fd6878e,51
4fd6d035,9
4fd87965,2
4fdc4283,11
4fe066bd,4
4fe320e4,12
4fe42ff3,4
4fe61e8d,4
4fe6eb1c,220
4feb9510,14
4fedd3ca,13
4ffbec93,23
4ffed9e6,9
5002a798,47
50040aa1,30
5005cb5c,34
5005d627,10
50093a4e,21
500e84f5,27
500fabef,41
501b4575,162
501c47a3,123
50212667,25
50225c3b,72
502512b0,67
50255aab,38
5026a460,17
50276e6e,19
5029951e,33
502a36e5,3
502aef46,4
502e5fd3,37
502ea9c2,446
50363032,60
503a5398,238
503b59c1,28
503fdc25,67
504078aa,14
5043d977,13
5044652b,152
50477652,30
504b151d,15
504d36a4,6
50517078,2
50540958,62
50540a54,11
5059f7fd,2983
506c2a6f,91
506c9bf3,25
506d6d31,83
5080468e,23
5083f5c9,72
50849726,52
50867f11,10
508c2967,26
50905873,4
509206bf,23
50929002,5
5092d741,19
509474cd,6
50993158,3
509a5c07,15
509c1fed,9
509d11ea,64
509e463e,108
509fac54,55
50a11644,4
50a27eb3,32
50aedb9d,108
50b39200,189
50b4d326,16
50b4d774,44
50b5377b,11
50b696aa,70
50b6e959,101
50ba1469,4
50ba17c4,14
50bb5cf5,5
50c171d7,88
50c80501,17
50caa16d,17
50cb2a42,4
50cf9a4e,55
50d1ab1f,4
50d6f27b,16
50db111c,22
50dbd06e,14
50dd1d74,32
50ddf0e6,30
50dfffb0,46
50e614cb,56
50ee9504,11
50f02fb8,114
50f5749e,120
50f78b7d,7
50fa24b8,19
50fd1352,336
50fd68d1,233
50ff1204,85
5101cae1,320
5102901a,110
51042d6f,149
5109b765,19
510b2a9e,16
510db37a,62
511556a7,21
5115a118,4
511b948f,58
511f1261,4
5122b691,51
51237af9,25
5125c494,11
51260be1,81
512e5544,98
512e8d31,17
5130e4fb,24
5131087f,359
5134fc63,5
5149e5b8,11
5155d50b,87
51567ecc,3
515894c4,30
515d2940,82
5161f6bf,11
51626721,21
516316f4,11
51689fe5,22
5169ff7f,80
516c8e10,10
51756ae8,190
517630a2,15
5177d37a,164
517a9046,9
517ba004,13
517bf648,7
517e8a6d,4
517f0919,121
517fa12a,58
5185244b,12
51871a7c,19
51876552,60
5187f77f,23
518b0612,30
518b5ae3,121
519121ee,33
5193354f,10
51972cdf,20
51987869,322
519dc98a,163
51a4ccb7,41
51ae0c23,9
51b1f975,43
51b26286,38
51b3027e,3
51b75277,14
51bbe2f6,10
51be5ef8,154
51c49988,8
51c6b4dd,158
51c7b3a8,20
51cbc081,134
51cfaa76,66
51d2a0a4,19
51d66340,54
51daa7cf,17
51eec591,12
51f08f03,10
51f27e99,83
51f3a1ab,78
51f8f102,66
5202c5c6,128
5202db13,5
52078bc1,31
520a559f,49
520dccde,9
5214088a,18
5217d996,31
521dbed6,8
521e81a7,30
521eaef4,7
521fa699,42
52214c0f,7
52242401,155
52259a71,8
52293749,8
5229bf85,33
522a15b7,42
522c659e,13
522e009c,283
522fa803,295
5230f51f,102
523c7e69,2
52407601,36
5246d2b4,93
5249c733,117
5249dafc,18
524c5ee4,16
524f3bc8,17
5255b2fe,78
525bd5cc,59
526086ec,11
5261d58e,13
52629dcf,184
526412b3,4
52669825,59
526db282,76
5270346a,12
5270b96c,4
52726d33,26
527ac6ab,4
527c61dd,8
527d86f9,2
52896a2d,8
5290b048,23
52911e9c,4
529345c6,43
52978d54,11
529ab3da,86
52a0fbcb,16
52ac0c47,81
52ad81ff,14
52b0ccd7,21
52b3464c,19
52b61e5a,37
52bb6a64,7
52c08d23,201
52c18a83,16
52c26697,7
52c5b1d9,6
52c69ef5,15
52c98d44,17
52cb8a0e,24
52cbd34e,12
52ce5268,21
52ced9ee,146
52d131c9,356
52d203e6,48
52d5b3bc,4
52d9c8e9,31
52de0ed3,102
52def2c9,106
52e7e9bd,151
52ea61f2,16
52ebb22d,79
52ef1d79,62
52f114bc,238
52f25739,36
52f37c30,81
52f4226f,65
52f43d3c,14
52f48dca,127
52f53f8d,35
52f769c9,83
52f78f42,19
52ff0b5b,5
52ff2a17,36
52fff6fc,2
530450cb,10
530913b8,38
530a6928,4
531301cb,14
5314a7ea,24
53181a13,4
5318c78f,26
531a6385,10
531fa7c6,4
5324abec,27
532842f7,2
532ab206,162
532b3b51,30
532b9d65,37
532dca66,20
53301059,4
533134f0,18
5332cd8c,128
533ecf35,66
53432699,31
534873ff,29
53498ed3,17
534cdc8e,35
534d1253,335
534f010a,6
53524a9b,9
535370ea,8
5355dff8,12
5357daff,20
535b9c8f,81
535c1793,10
5365053d,40
536971b0,80
536cef17,52
5372249b,33
537411d9,23
5375d4b4,105
53760076,25
537de4d0,13
537f1a23,101
537fa644,4
538077fc,92
5380ef50,810
53876c82,56
538eb1ad,16
5390d07b,21
53962da2,92
5397411e,10
53976d02,9
539e645b,82
539faf46,10
53a1e767,13
53a26b86,14
53a29d93,117
53a64eb5,268
53ab3d13,12
53b127e8,7
53b7fca7,62
53ba85b9,98
53be8051,31
53bfbd9f,452
53c0698d,12
53c73d11,33
53c81963,179
53ca40e0,153
53cd4255,38
53d4784b,9
53d5b183,61
53d5f0bc,41
53d63716,4
53d7167e,4
53d7d6dc,13
53d97de9,4
53e251c0,7
53e3329b,8
53e877ab,43
53fb4a88,12
53fec8d1,123
54017c40,8
54058ecd,15
5406605e,11
540b3403,13
540cd8a6,6
540e67b1,8
5410f3c2,18
54120a2e,36
5420bb27,21
542336f4,9
54248401,4
542593d5,69
5429a056,42
5429fbb6,29
542d11e8,10
5437b312,11
5437de8d,3
5438dc9e,14
543c7436,30
543e48ab,139
543eee8a,9
5440923b,90
544155c4,39
544252a3,10
5446787a,50
5447e3fa,183
54486be3,4
544b6605,10
544f40bc,50
545010f6,52
5450b433,12
5454a862,238
5454b160,56
5457185a,4
5458e3ab,76
545926e2,4
54656275,9
54669a2b,52
546e0b14,51
5474b0cd,39
5476a098,53
54814ba4,31
548517de,4
5486c517,9
5489d9c1,94
548ebb7a,11
5492dd0e,4
5497b0f6,21
5499decf,169
549a1013,4
549a5e1b,320
549e0fff,30
549e6f8a,124
54a74ea0,12
54ae9edc,10
54aef36a,11
54b2232a,28
54b506a9,183
54c114bf,6
54c5eee0,15
54c9b9bd,9
54cd70e7,4
54ce8ddc,155
54d47ad8,16
54d7250c,9
54da181b,42
54de07f4,270
54e269b4,14
54e6f8f4,6
54f02647,28
54f07e33,34
54f1e99a,44
54f591a3,20
54fe15b4,295
54fe3792,4
54fff53d,19
55010e94,11
55018028,572
5504fd46,59
55053510,149
5507d4ba,5
550c0a21,12
55103a4f,52
5517c8e3,196
551931aa,40
5519920a,42
551ea9f2,10
552107b2,63
55212285,137
5527ac14,4
552c13cb,11
552c207d,18
5531fa3c,227
5532f198,47
5538ce7e,112
553d7f42,86
553e1b20,4
5540c204,7
5542eadf,44
55436ae2,13
55445808,85
55449577,48
55457596,93
55473885,16
5547c551,91
55483cd8,5
554c7d1d,9
554f2d1d,8
5552957e,37
555b9d21,214
5564b02c,37
55654b2a,34
5566741c,39
5570edc0,5
557174d4,8
557437cc,8
557927ce,82
557b5138,80
5582e374,18
5583bffc,11
5586dadf,22
558a93a7,79
558ed768,13
558f7099,40
5591960a,33
55983e7b,30
559b4641,51
55a2402a,6
55a534e0,30
55a58926,13
55a627f6,34
55a6554b,35
55a7e8c8,4
55a8cb41,17
55aa2a3b,7
55aa40c4,14
55aed4ee,45
55bb3e62,399
55bbc51d,8
55be1653,46
55c12370,502
55ca64c9,4
55d1e0ee,113
55d26649,30
55d38fa9,4
55d65829,171
55d6d9d6,11
55d75e51,61
55dc8d1b,87
55df03cf,28
55e5a18c,4
55e84f8b,8
55e87de8,70
55e9aa0c,131
55ea5ee7,24
55ea89b2,19
55eea631,5
55f1caa5,106
55f7ae64,24
55f7b749,21
55fc24ef,507
56018a9c,3
56023318,21
560424ca,15
5605e030,14
560787b4,9
5609f296,60
5613ba35,63
5614eef0,158
56174447,25
561755a3,4
56189edd,59
56240128,26
562bb97c,4
562e41f2,15
562e6b54,63
56370234,38
563b31e8,9
56443740,15
56495a45,585
56535de2,60
56604293,14
56636a91,4
5663c5d0,4
56641c97,6
566668ba,185
566971b1,24
5674d5fe,91
5679fd05,22
567d6a5c,111
56861f56,69
56864a17,29
5688286b,11
568e3a06,8
568ebcaa,24
56904bab,8
56906836,4
5693d9e7,120
56943ebc,34
5695d0d4,39
5695de50,39
569d57d7,352
569d72b0,74
56a13361,1
56a281a7,6
56a3d947,38
56a67da3,372
56ae1c6d,506
56aedcb9,13
56af763a,12
56b0c4d1,226
56b2510a,13
56b2cb39,31
56b570e3,4
56b5f04d,3
56b9888f,115
56c10388,31
56c2dbe6,15
56c384fd,14
56c77d89,82
56cfb4ba,12
56d09278,521
56d10620,20
56d4f790,8
56d790a4,16
56e054ba,57
56e65568,82
56e7ae32,16
56f0e3d8,6
56f53b20,57
56f55070,57
56fedf82,586
5706af2b,23
57085274,4
57097881,154
570bd1ae,210
570fb505,15
